Title_slug,Platform_Slug
pro-evolution-soccer-2017,ios-(iphone/ipad)
sam-and-max-episode-204-chariots-of-the-dogs,ios-(iphone/ipad)
ys-viii-lacrimosa-of-dana,ios-(iphone/ipad)
machinarium,ios-(iphone/ipad)
frozen-synapse,ios-(iphone/ipad)
the-wolf-among-us-episode-1-faith,ios-(iphone/ipad)
football-manager-2022,ios-(iphone/ipad)
the-walking-dead-episode-3-long-road-ahead,ios-(iphone/ipad)
batman-the-enemy-within-episode-5-same-stitch,ios-(iphone/ipad)
final-fantasy-xi,ios-(iphone/ipad)
rogue-legacy,ios-(iphone/ipad)
a-space-for-the-unbound,ios-(iphone/ipad)
tangle-tower,ios-(iphone/ipad)
football-manager-2021,ios-(iphone/ipad)
final-fantasy-iv-3d-remake,ios-(iphone/ipad)
thronebreaker-the-witcher-tales,ios-(iphone/ipad)
tetris-2010,ios-(iphone/ipad)
trials-evolution-gold-edition,ios-(iphone/ipad)
death-stranding-directors-cut,ios-(iphone/ipad)
manifold-garden,ios-(iphone/ipad)
papers-please,ios-(iphone/ipad)
428-shibuya-scramble,ios-(iphone/ipad)
keep-talking-and-nobody-explodes,ios-(iphone/ipad)
blast-off,ios-(iphone/ipad)
if-found,ios-(iphone/ipad)
street-fighter-x-tekken,ios-(iphone/ipad)
rakuen,ios-(iphone/ipad)
what-the-golf,ios-(iphone/ipad)
borderlands-a-telltale-game-series,ios-(iphone/ipad)
ufc-undisputed-2010,ios-(iphone/ipad)
gorogoa,ios-(iphone/ipad)
nba-2k14,ios-(iphone/ipad)
darkest-dungeon,ios-(iphone/ipad)
sid-meiers-civilization-revolution,ios-(iphone/ipad)
hearthstone-heroes-of-warcraft-the-grand,ios-(iphone/ipad)
mushihimesama,ios-(iphone/ipad)
frozen-synapse-prime,ios-(iphone/ipad)
football-manager-2020,ios-(iphone/ipad)
streets-of-rage-4,ios-(iphone/ipad)
hyper-light-drifter,ios-(iphone/ipad)
zen-pinball-2-aliens-vs-pinball,ios-(iphone/ipad)
magic-the-gathering-arena,ios-(iphone/ipad)
gordian-quest,ios-(iphone/ipad)
dark-void-zero,ios-(iphone/ipad)
resident-evil-village,ios-(iphone/ipad)
ftl-faster-than-light,ios-(iphone/ipad)
dragon-quest-v-hand-of-the-heavenly-bride,ios-(iphone/ipad)
rayman,ios-(iphone/ipad)
danmaku-unlimited-3,ios-(iphone/ipad)
madden-nfl-11,ios-(iphone/ipad)
spiritfarer,ios-(iphone/ipad)
thimbleweed-park,ios-(iphone/ipad)
baba-is-you,ios-(iphone/ipad)
sayonara-wild-hearts,ios-(iphone/ipad)
oddworld-abes-oddysee-new-n-tasty,ios-(iphone/ipad)
lost-in-play,ios-(iphone/ipad)
fifa-14,ios-(iphone/ipad)
telling-lies,ios-(iphone/ipad)
swords-and-soldiers,ios-(iphone/ipad)
the-wolf-among-us-episode-5-cry-wolf,ios-(iphone/ipad)
fifa-16,ios-(iphone/ipad)
retro-bowl,ios-(iphone/ipad)
football-manager-2024,ios-(iphone/ipad)
chuchu-rocket,ios-(iphone/ipad)
ultimate-general-gettysburg,ios-(iphone/ipad)
detention,ios-(iphone/ipad)
final-fantasy-iv-pixel-remaster,ios-(iphone/ipad)
bloodstained-ritual-of-the-night,ios-(iphone/ipad)
ghost-trick-phantom-detective,ios-(iphone/ipad)
steins-gate,ios-(iphone/ipad)
this-war-of-mine,ios-(iphone/ipad)
strange-horticulture,ios-(iphone/ipad)
blackwell-epiphany,ios-(iphone/ipad)
sine-mora,ios-(iphone/ipad)
retro-city-rampage-dx,ios-(iphone/ipad)
one-finger-death-punch-2,ios-(iphone/ipad)
cassette-beasts,ios-(iphone/ipad)
riven-the-sequel-to-myst,ios-(iphone/ipad)
unpacking,ios-(iphone/ipad)
dragon-quest-builders,ios-(iphone/ipad)
transistor,ios-(iphone/ipad)
prince-of-persia-warrior-within,ios-(iphone/ipad)
magic-duels-of-the-planeswalkers-2014,ios-(iphone/ipad)
pac-man-championship-edition,ios-(iphone/ipad)
gris,ios-(iphone/ipad)
prison-architect,ios-(iphone/ipad)
nba-2k15,ios-(iphone/ipad)
2010-fifa-world-cup-south-africa,ios-(iphone/ipad)
ms-splosion-man,ios-(iphone/ipad)
final-fantasy-v,ios-(iphone/ipad)
sonic-the-hedgehog-2,ios-(iphone/ipad)
vvvvvv,ios-(iphone/ipad)
dust-an-elysian-tail,ios-(iphone/ipad)
door-kickers,ios-(iphone/ipad)
the-last-campfire,ios-(iphone/ipad)
reventure,ios-(iphone/ipad)
invisible-inc,ios-(iphone/ipad)
super-hydorah,ios-(iphone/ipad)
the-banner-saga-2,ios-(iphone/ipad)
you-dont-know-jack-2011,ios-(iphone/ipad)
the-pinball-arcade,ios-(iphone/ipad)
geometry-wars-3-dimensions,ios-(iphone/ipad)
motoheroz,ios-(iphone/ipad)
sokobond,ios-(iphone/ipad)
f1-2016,ios-(iphone/ipad)
wylde-flowers,ios-(iphone/ipad)
shift-2-unleashed,ios-(iphone/ipad)
gemini-rue-verschworung-auf-barracus,ios-(iphone/ipad)
sonic-cd,ios-(iphone/ipad)
rome-total-war-barbarian-invasion,ios-(iphone/ipad)
hearthstone-heroes-of-warcraft-blackrock-mountain,ios-(iphone/ipad)
tales-of-monkey-island-chapter-3-lair-of-the-levi,ios-(iphone/ipad)
the-talos-principle-road-to-gehenna,pc
children-of-morta,ios-(iphone/ipad)
doom-1993,ios-(iphone/ipad)
creaks,ios-(iphone/ipad)
keroblaster,ios-(iphone/ipad)
gunman-clive,ios-(iphone/ipad)
vectronom,ios-(iphone/ipad)
the-wolf-among-us-episode-3-a-crooked-mile,ios-(iphone/ipad)
legend-of-grimrock,ios-(iphone/ipad)
marvel-vs-capcom-2,ios-(iphone/ipad)
final-fantasy-v-pixel-remaster,ios-(iphone/ipad)
nyxquest-kindred-spirits,ios-(iphone/ipad)
efootball-pes-2020,ios-(iphone/ipad)
prince-of-persia-classic,ios-(iphone/ipad)
split-second,ios-(iphone/ipad)
desktop-dungeons,ios-(iphone/ipad)
sam-and-max-episode-201-ice-station-santa,ios-(iphone/ipad)
sonic-and-all-stars-racing-transformed,ios-(iphone/ipad)
technobabylon,ios-(iphone/ipad)
syberia,ios-(iphone/ipad)
the-walking-dead-episode-1-a-new-day,ios-(iphone/ipad)
hidden-through-time-2-myths-and-magic,ios-(iphone/ipad)
chicken-police-paint-it-red,ios-(iphone/ipad)
turnip-boy-robs-a-bank,ios-(iphone/ipad)
nba-2k19,ios-(iphone/ipad)
loop-hero,ios-(iphone/ipad)
puzzle-quest-challenge-of-the-warlords,ios-(iphone/ipad)
botanicula,ios-(iphone/ipad)
de-blob,ios-(iphone/ipad)
severed,ios-(iphone/ipad)
broken-age-act-1,ios-(iphone/ipad)
starship-defense,ios-(iphone/ipad)
wreckfest,ios-(iphone/ipad)
yuppie-psycho,ios-(iphone/ipad)
kalimba,ios-(iphone/ipad)
to-the-moon,ios-(iphone/ipad)
danganronpa-v3-killing-harmony,ios-(iphone/ipad)
fieldrunners,ios-(iphone/ipad)
the-kids-we-were,ios-(iphone/ipad)
super-one-more-jump,ios-(iphone/ipad)
sunless-sea,ios-(iphone/ipad)
the-walking-dead-season-two-episode-three,ios-(iphone/ipad)
football-manager-2016,ios-(iphone/ipad)
monster-hunter-freedom-unite,ios-(iphone/ipad)
downwell,ios-(iphone/ipad)
phoenix-wright-ace-attorney-dual-destinies,ios-(iphone/ipad)
the-lions-song,ios-(iphone/ipad)
phoenix-wright-ace-attorney-trilogy,ios-(iphone/ipad)
life-is-strange-episode-3,ios-(iphone/ipad)
gunslugs,ios-(iphone/ipad)
voez,ios-(iphone/ipad)
tales-of-monkey-island-chapter-5-rise-of-the-pira,ios-(iphone/ipad)
suzerain,ios-(iphone/ipad)
skylanders-superchargers,ios-(iphone/ipad)
phoenix-wright-ace-attorney,ios-(iphone/ipad)
life-is-strange-episode-5,ios-(iphone/ipad)
uno,ios-(iphone/ipad)
the-walking-dead-season-two-episode-two,ios-(iphone/ipad)
tales-from-the-borderlands-episode-three-catch-a,ios-(iphone/ipad)
finding-paradise,ios-(iphone/ipad)
broken-age,ios-(iphone/ipad)
life-is-strange-episode-4,ios-(iphone/ipad)
sam-and-max-the-devils-playhouse-episode-1,ios-(iphone/ipad)
samurai-shodown,ios-(iphone/ipad)
reigns-her-majesty,ios-(iphone/ipad)
zombie-night-terror,ios-(iphone/ipad)
phoenix-wright-ace-attorney-spirit-of-justice,ios-(iphone/ipad)
chuchel,ios-(iphone/ipad)
rollercoaster-tycoon-3,ios-(iphone/ipad)
genshin-impact,ios-(iphone/ipad)
skulls-of-the-shogun,ios-(iphone/ipad)
happy-game,ios-(iphone/ipad)
terraria,ios-(iphone/ipad)
lostwinds,ios-(iphone/ipad)
the-bug-butcher,ios-(iphone/ipad)
the-legend-of-tianding,ios-(iphone/ipad)
embracelet,ios-(iphone/ipad)
minit,ios-(iphone/ipad)
star-wars-pinball-the-force-awakens,ios-(iphone/ipad)
moonlighter,ios-(iphone/ipad)
shovel-knight-dig,ios-(iphone/ipad)
pinball-fantasies,ios-(iphone/ipad)
catan-2003,ios-(iphone/ipad)
